product_id,product_name,category,sub_category,base_price,price,competitor_price,demand,rating,reviews,stock,season,discount,day_of_week
PROD_0001,boAt Bassheads 100,Earphones,Budget,2494,2680,2617,238,3.2,2279,259,Normal,0.4,Sunday
PROD_0002,Apple Watch Series 9,Smartwatch,Premium,33044,35723,29620,475,4.0,345,291,Festive,6.9,Saturday
PROD_0003,Apple AirPods Pro 2,Earphones,Premium,13702,14038,12534,369,4.0,357,463,Normal,0.5,Thursday
PROD_0004,Apple AirPods Pro 2,Earphones,Premium,13702,14786,12638,513,4.4,1069,387,Festive,12.4,Tuesday
PROD_0005,OnePlus Nord CE4,Mobile Phone,Mid,21596,23367,20707,410,4.1,1114,374,Normal,7.7,Saturday
PROD_0006,Sony WH-CH520,Earphones,Mid,5964,6634,6053,414,3.5,1396,574,Festive,8.5,Thursday
PROD_0007,Samsung Crystal 4K,Television,Mid,38367,42971,40404,504,4.1,1402,311,Festive,5.9,Sunday
PROD_0008,Redmi Note 13,Mobile Phone,Budget,12662,13639,12179,361,3.9,2260,397,Normal,0.0,Tuesday
PROD_0009,Canon EOS 1500D,Camera,Budget,43666,47092,42630,323,3.4,2126,315,Normal,4.4,Wednesday
PROD_0010,Apple Watch Series 9,Smartwatch,Premium,33044,35622,29943,461,4.2,50,331,Festive,13.2,Monday
PROD_0011,Samsung Galaxy A35,Mobile Phone,Mid,38986,43252,39951,349,3.6,1402,535,Festive,6.2,Thursday
PROD_0012,boAt Bassheads 100,Earphones,Budget,2494,2651,2433,280,4.0,2407,556,Normal,0.0,Saturday
PROD_0013,Fitbit Sense 2,Smartwatch,Mid,22747,24244,22045,246,3.9,939,452,Normal,1.5,Sunday
PROD_0014,MacBook Pro 14,Laptop,Premium,151005,162692,165856,322,4.2,301,335,Normal,0.0,Tuesday
PROD_0015,MacBook Pro 14,Laptop,Premium,151005,163281,132932,342,3.6,50,87,Festive,9.2,Friday
PROD_0016,Apple Watch Series 9,Smartwatch,Premium,33044,37009,34091,499,4.5,800,440,Festive,14.8,Thursday
PROD_0017,iPhone 16,Mobile Phone,Premium,115228,120000,114738,205,4.2,1075,251,Festive,16.2,Wednesday
PROD_0018,Nikon D3500,Camera,Budget,44762,50000,45336,406,3.3,2561,416,Festive,11.1,Wednesday
PROD_0019,JBL Tune 770NC,Earphones,Mid,10947,11015,10055,228,4.3,1556,617,Normal,0.0,Monday
PROD_0020,Samsung Crystal 4K,Television,Mid,38367,41795,41946,404,3.9,1323,219,Normal,3.0,Monday
PROD_0021,Realme Buds 2,Earphones,Budget,2947,3000,3229,167,3.1,1467,709,Festive,12.8,Friday
PROD_0022,Sony Bravia X74L,Television,Mid,60256,64883,53600,416,3.7,609,288,Festive,9.5,Thursday
PROD_0023,boAt Wave Sigma,Smartwatch,Budget,3143,3422,2867,386,2.9,1959,0,Festive,7.5,Sunday
PROD_0024,Apple Watch Series 9,Smartwatch,Premium,33044,35967,33489,425,4.6,678,268,Normal,0.0,Monday
PROD_0025,Sony Alpha ZV-E10,Camera,Mid,71260,73976,63474,363,3.4,1390,182,Normal,6.3,Monday
